intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
-0.068262573,-4.39829343,5.224302562,-0.921308246,1.855886039,2.90874093,-0.228819478,1.906918382,0.525663439,-2.299224216,-0.301196118,-0.192605653,1.978364645,0.470724089,3.613978955
-0.050495977,-4.395754609,5.230660192,-0.918368755,1.853646325,2.909980582,-0.222595888,1.899523676,0.524976326,-2.299058075,-0.310938948,-0.186918273,1.973552586,0.473251397,3.61891485
-0.089390139,-4.398859195,5.217605554,-0.924498133,1.846478261,2.919247738,-0.222701081,1.894336711,0.521171094,-2.298956479,-0.319862556,-0.165225242,2.029631842,0.470398657,3.659240951
-0.136623076,-4.408922403,5.19952241,-0.929771638,1.843980004,2.914749825,-0.252818086,1.905096517,0.518019484,-2.304387796,-0.297394311,-0.178783059,2.032088824,0.473505892,3.654723668
-0.140370279,-4.419861984,5.191337166,-0.910592476,1.839688619,2.937073161,-0.234564237,1.904445899,0.529884342,-2.299005603,-0.291792573,-0.177373023,2.040997027,0.484555377,3.65716138
-0.147562277,-4.425570528,5.191342147,-0.912323964,1.847927818,2.927815048,-0.234533689,1.906111853,0.529265664,-2.296562303,-0.276565255,-0.18321921,2.043694991,0.484126902,3.656188043
-0.161959513,-4.422134141,5.183861458,-0.909704892,1.841718581,2.925150433,-0.242772993,1.902982824,0.536554883,-2.292824434,-0.268734263,-0.184766348,2.04004412,0.482613916,3.658188072
-0.163651797,-4.42534561,5.186423654,-0.912571015,1.830484213,2.934164745,-0.246541579,1.893288429,0.53550554,-2.293879047,-0.26678337,-0.196708498,2.046379476,0.487038102,3.657241025
-0.202999869,-4.425401189,5.170833621,-0.953455834,1.813714464,2.928435816,-0.25518309,1.916947877,0.530385029,-2.286284191,-0.252843688,-0.205248061,2.066291915,0.485137156,3.696957067
-0.295176699,-4.346560363,5.211949326,-0.958938545,1.762602498,2.967969882,-0.297534793,1.891982145,0.571700876,-2.402027391,-0.314637973,-0.172106739,2.020063776,0.523145912,3.706226839
-0.318089891,-4.37234746,5.195306355,-0.968282455,1.765853549,2.982631469,-0.267930657,1.867993505,0.56518435,-2.404568576,-0.332653445,-0.174243232,2.004456494,0.537006394,3.702130417
-0.285103401,-4.361526516,5.232464693,-0.925663284,1.760539067,2.965747718,-0.307114286,1.771874314,0.571615799,-2.398753654,-0.360518227,-0.181849282,1.994385661,0.531671877,3.693668109
-0.304486873,-4.360674567,5.224112816,-0.92626064,1.756684592,2.963724762,-0.317365754,1.763593086,0.590043046,-2.386914544,-0.336185932,-0.191449266,1.986247486,0.526595198,3.696358947
-0.325613686,-4.358164057,5.211970914,-0.919687163,1.756987513,2.973658836,-0.317902362,1.775370671,0.586565651,-2.388171538,-0.3443766,-0.187707285,1.986540932,0.528860391,3.704002263
-0.331268849,-4.345626946,5.206659819,-0.918367023,1.744208333,2.969168534,-0.320358195,1.774726616,0.579013597,-2.397423896,-0.344687068,-0.190408886,1.981212833,0.522033167,3.706823928
-0.328535888,-4.344675957,5.207987706,-0.916234778,1.744209345,2.968004307,-0.321141686,1.798178024,0.593575005,-2.387820719,-0.339665559,-0.183227062,1.977925035,0.522035991,3.708201371
-0.342451116,-4.344305407,5.203807553,-0.902737315,1.741639954,2.972644239,-0.328829838,1.798642467,0.593557457,-2.4260557,-0.328341719,-0.19858518,2.016852142,0.459277597,3.729587523
-0.308990261,-4.317063587,5.198461869,-0.870892508,1.711101995,2.99206525,-0.357825524,1.811786163,0.602910432,-2.407638086,-0.318321809,-0.175969367,2.025686108,0.423007785,3.750942728
-0.379984091,-4.329205014,5.128699382,-0.849006993,1.656941983,2.983420323,-0.288934845,1.804247299,0.594993717,-2.424381421,-0.29041684,-0.192835321,2.076710102,0.333275682,3.76123799
-0.37024001,-4.305766185,5.118343929,-0.836508951,1.643805278,2.990689878,-0.292691884,1.821044465,0.586235034,-2.436207238,-0.298271139,-0.206461119,2.073161271,0.332252978,3.777659172
-0.369682681,-4.285158391,5.107677829,-0.80312456,1.621905062,3.017259559,-0.302137258,1.824640244,0.595563353,-2.463090324,-0.293684523,-0.221822342,2.074267473,0.314531538,3.777547241
-0.327453212,-4.279457821,5.10046402,-0.784046077,1.633974065,2.991646201,-0.271603053,1.829987388,0.569370809,-2.491580395,-0.340968709,-0.200627443,2.083479076,0.297334759,3.760009966
-0.303843667,-4.292448518,5.10449014,-0.784548126,1.639260994,2.992456269,-0.277496023,1.811457559,0.54041913,-2.51447245,-0.359259929,-0.174174468,2.056294624,0.320649453,3.779066734
-0.215584648,-4.346889375,5.013756671,-0.814512836,1.733792109,2.949813074,-0.295890975,1.949167009,0.525253092,-2.485082719,-0.326439609,-0.206132352,2.217209612,0.290749809,3.807042021
-0.156138034,-4.437544078,5.013077677,-0.783567056,1.752186131,2.990175118,-0.249524687,1.878195701,0.551792185,-2.528968463,-0.32294253,-0.283734592,2.238579857,0.289230542,3.727133048
-0.164616274,-4.422884581,5.003550982,-0.788808927,1.744932853,2.997914288,-0.261170047,1.882497747,0.5583208,-2.530681074,-0.320271191,-0.293641735,2.235870094,0.283091997,3.72408588
-0.05487732,-4.350815587,5.09381022,-0.759882706,1.729875495,3.01034855,-0.318913338,1.972360883,0.6308325,-2.589749816,-0.252798463,-0.387373289,2.298931599,0.203584272,3.730185104
-0.016358668,-4.363701118,5.085971733,-0.75198383,1.739795358,3.004616584,-0.317731402,1.966072915,0.623686994,-2.58777994,-0.246920567,-0.388154236,2.29371848,0.171617109,3.736064588
-0.035738821,-4.370524262,5.082971829,-0.739490158,1.758028689,2.994558592,-0.316644579,1.933109328,0.611998157,-2.578131746,-0.253443139,-0.392212425,2.304612438,0.17978572,3.738125638
-0.00164285,-4.350063574,5.060107499,-0.777999731,1.757969687,2.960571608,-0.318124395,1.941666792,0.637934816,-2.590026674,-0.259510554,-0.397272521,2.32493053,0.181018772,3.733115148
-0.03150997,-4.344827729,5.031605702,-0.832631706,1.760532594,2.938584426,-0.333596053,1.980346271,0.688959655,-2.534937677,-0.156383854,-0.444022011,2.381214008,0.159770269,3.699774477
-0.032248351,-4.344128314,5.03912292,-0.837943127,1.760628746,2.93231023,-0.331908721,1.981473336,0.689341236,-2.526979336,-0.156700893,-0.442941305,2.381631806,0.161538477,3.694891507
0.028404358,-4.369758539,5.142213087,-0.74504088,1.716176852,2.871602277,-0.353844099,1.998087095,0.739425884,-2.542961271,-0.206023847,-0.487778725,2.40040695,0.091100435,3.622241016
-0.033397855,-4.323148156,5.107846787,-0.765135638,1.74226136,2.785734202,-0.339003894,2.002450068,0.766772591,-2.590184463,-0.24862683,-0.437233149,2.393803358,0.146407805,3.618078066
-0.005445357,-4.292446123,5.090593765,-0.7549913,1.753377971,2.78038903,-0.367136276,2.005928555,0.787622913,-2.597537768,-0.225600963,-0.429488509,2.393650575,0.135799495,3.632763623
-0.011810063,-4.297960006,5.078987082,-0.758669156,1.756645566,2.780672665,-0.366735707,2.008326607,0.784316083,-2.603896991,-0.234697089,-0.426161515,2.396004937,0.14215578,3.632930127
-0.02399167,-4.303593716,5.054418888,-0.762517886,1.765504703,2.783657943,-0.353924302,1.999352396,0.787079248,-2.609566495,-0.245423394,-0.422688036,2.401294113,0.149134896,3.637219662
-0.047454763,-4.301965167,5.039071637,-0.785606398,1.78112578,2.7833804,-0.354116795,2.006502262,0.79463184,-2.614602004,-0.245267951,-0.432967428,2.415256527,0.163747732,3.638374694
-0.049554288,-4.298779573,5.034724083,-0.791676242,1.784797793,2.789046617,-0.342875178,2.027149238,0.797723256,-2.620990796,-0.243101472,-0.425574041,2.41340559,0.159680536,3.633562545
-0.033532042,-4.295618347,5.032931233,-0.777471438,1.781621937,2.781570233,-0.353844239,2.036469705,0.795012028,-2.608852628,-0.232229123,-0.435456211,2.408404115,0.141345658,3.629626034
-0.037719897,-4.300623757,5.028125613,-0.788278103,1.786833811,2.773876725,-0.346718863,2.033256102,0.789408792,-2.610937647,-0.236579319,-0.429194691,2.393118053,0.136247226,3.625432961
-0.026965031,-4.290269354,5.032851717,-0.784650131,1.781171548,2.768929399,-0.345875299,2.047009107,0.793976356,-2.618531919,-0.245261655,-0.420188373,2.389168639,0.131813367,3.62449157
-0.019443694,-4.291086208,5.040343223,-0.781978943,1.782227927,2.769542987,-0.346267066,2.046308082,0.794356708,-2.618128284,-0.247177334,-0.419443879,2.391091902,0.129163443,3.623642926
-0.023500214,-4.29125015,5.03866253,-0.783480867,1.784762469,2.766183348,-0.337629461,2.045409107,0.792231491,-2.622822792,-0.247711735,-0.419139351,2.350247428,0.129926076,3.617732288
-0.07093236,-4.269298706,4.960780328,-0.797971723,1.77896868,2.818427328,-0.358524292,2.043885976,0.8212764,-2.584267804,-0.223170935,-0.443329436,2.382961336,0.14836289,3.668639023
-0.092251575,-4.289892025,4.975993797,-0.78949515,1.775842644,2.840402716,-0.358511095,2.02191528,0.821600523,-2.589140704,-0.238803068,-0.441222669,2.36300325,0.159334743,3.654932648
-0.075625654,-4.287762333,4.977274414,-0.783545791,1.773417057,2.847935558,-0.358578362,2.017449057,0.822411804,-2.591408571,-0.234725073,-0.448203145,2.362133425,0.146358502,3.651938047
-0.068919215,-4.290471588,4.979143487,-0.786348146,1.775398325,2.850036692,-0.359053486,2.015046087,0.823589639,-2.590391628,-0.240743174,-0.451962965,2.365894711,0.142489389,3.650524808
-0.033216923,-4.289067965,4.983895439,-0.789626506,1.758600797,2.83914824,-0.399758734,2.006833283,0.847748308,-2.568240278,-0.196291203,-0.466731365,2.381824516,0.131613181,3.646497435
-0.003838193,-4.288904465,5.009369641,-0.764361824,1.758709564,2.84138967,-0.453127931,2.002425442,0.87763212,-2.576570098,-0.208264203,-0.472803121,2.423043614,0.124896945,3.644677371
-0.006514237,-4.284183595,5.006914386,-0.754464067,1.764188912,2.839187669,-0.450580349,2.004926064,0.875598237,-2.575425223,-0.21452782,-0.474152532,2.416431965,0.122853449,3.64684914
0.000755743,-4.281042234,5.008859677,-0.752734292,1.764882432,2.839386869,-0.449081688,2.005056355,0.877231417,-2.576308748,-0.215683363,-0.472736158,2.417490898,0.123281846,3.647445315
0.011211443,-4.275812703,5.021329702,-0.746955504,1.755692696,2.837778875,-0.44663508,2.003708229,0.872659118,-2.579493049,-0.219170654,-0.479697462,2.406611726,0.124032321,3.646465408
0.008936789,-4.285296035,5.01098915,-0.752208583,1.759478318,2.833538827,-0.436641325,2.000029582,0.865530465,-2.582947053,-0.218319823,-0.484860462,2.409130185,0.123411352,3.6392105
0.018769886,-4.287448803,5.011436145,-0.750155,1.756411715,2.831400429,-0.434910128,2.000504494,0.862127853,-2.586869414,-0.221188917,-0.481129588,2.409026633,0.123452761,3.638138192
