intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
3.16758513390573e-06,-0.169408032518884,0.10603772662095,-0.0306066042408383,0.0988004696497281,0.13993010411452,0.0168949331736105,0.126704359881786,0.0398298650687111,-0.179009200652293,-0.0316605509522051,0.0100810213964886,0.0771809969667163,0.0110866094129854,0.163934868306554,2014-12-22,2014
2.74311937853229e-06,-0.16941918897232,0.106018646461425,-0.0305823920163659,0.0988014236066557,0.139938055462038,0.0168789063242366,0.126731270639407,0.039810683598252,-0.179065045758759,-0.0316781632954603,0.0100830572721512,0.0771651008196972,0.0110898640849077,0.163957009010192,2014-12-23,2014
1.83216601477486e-06,-0.169384682125947,0.105969057123027,-0.0307143630806464,0.0988375644948423,0.139890546867557,0.0169431512566364,0.126708911502501,0.0398889940102827,-0.179124070119695,-0.0317247843629616,0.0100516282555511,0.0771717880259137,0.0110805251905232,0.163980460314907,2014-12-26,2014
1.44692604775603e-06,-0.169352017327717,0.105968877174699,-0.0307659620250389,0.0988418159105446,0.139847280424289,0.0169546037296441,0.126715164413532,0.0399448897114629,-0.179083339925769,-0.0317781958236786,0.0100822923420962,0.0771449111477645,0.0110958013751161,0.163989379326672,2014-12-29,2014
8.69005795669147e-07,-0.169341601229185,0.105997403240463,-0.0307454454300595,0.098894214355692,0.13977613302296,0.0169643860163649,0.126751560618439,0.0399771314655834,-0.179001616047188,-0.0317484861522636,0.0101947927900412,0.0771193751744299,0.0110537619916147,0.163984266176193,2014-12-30,2014
-2.12058624296914e-06,-0.169116051696617,0.105903338177004,-0.030712400857843,0.098817577975834,0.139452613869191,0.0176360138450439,0.126574109730012,0.0420234971780509,-0.178828437455366,-0.0321413349541846,0.0104173399807128,0.0781726958403067,0.0115938247713946,0.16373539528583,2014-12-31,2014
-1.97176671686028e-06,-0.169149849472881,0.10591432095099,-0.0306998213897195,0.0987931945781196,0.13938616490308,0.0176052662324794,0.126566878386692,0.0420307917381731,-0.178874739665127,-0.0322150767198513,0.0104448113364541,0.0782112570410526,0.0116024849758124,0.163731057302859,2015-01-02,2015
-1.51187253239077e-06,-0.16914282296608,0.105860862059576,-0.0308834198804998,0.0987973942503463,0.139262032085335,0.0174182494058779,0.126748309634266,0.0417123197774025,-0.178853770999142,-0.0322708826852484,0.0105852756912222,0.0781294938386234,0.0115595200129751,0.163785372155961,2015-01-05,2015
-4.70864830896425e-06,-0.169009505123733,0.105637088598864,-0.0307560882961587,0.0980258894133942,0.141932942076956,0.0189434929796196,0.128982428533062,0.0433745246898678,-0.180840038723166,-0.0288866310039066,0.00819943456680433,0.0777248191482244,0.0100082355317361,0.162834046585381,2015-01-06,2015
-5.66752840591074e-06,-0.168738217808152,0.105485847841701,-0.03103261067132,0.098134263937749,0.141959343210053,0.01941278791604,0.128018721291191,0.0433187118540085,-0.18058182832823,-0.028566168322228,0.00776868395952478,0.0776784086520915,0.0102314031767917,0.162803782277711,2015-01-07,2015
-6.49195624868784e-06,-0.168799783607958,0.105338747674873,-0.0313315265742814,0.0980758050846568,0.141721434226717,0.0194743681784768,0.12792024260212,0.0434521759751218,-0.180753016379014,-0.0287165538947795,0.00804467781596132,0.0774724289687366,0.0102781123091225,0.162756962944863,2015-01-08,2015
-7.93191379418104e-06,-0.168799529647552,0.105389867202749,-0.0308181889226664,0.0983305218033366,0.141892577591546,0.0203980550351152,0.126928824331866,0.0434313778908936,-0.180302477320072,-0.0292149278200464,0.00794745220778086,0.0775010770635454,0.0100939730802768,0.162765840313209,2015-01-09,2015
-8.09322756143252e-06,-0.168779459525545,0.105396606266845,-0.0307024396209673,0.0983360208336559,0.141820644040565,0.020385141055994,0.126979122954578,0.0434030313885603,-0.180264658507899,-0.0291731658251478,0.00789489471380271,0.077520719440696,0.0100651776390506,0.162765610048642,2015-01-12,2015
-6.13289396000415e-06,-0.168489729842652,0.10582470008937,-0.0294781993747915,0.0978131121114981,0.141986319329945,0.0199291103823996,0.126162172510586,0.0420449804217072,-0.181077429648044,-0.031174533831584,0.00589348366979545,0.0772321690495747,0.00935378914712419,0.163047965234494,2015-01-13,2015
-5.46139735514377e-06,-0.168362106939712,0.105715599574933,-0.0293437942353013,0.0979363503919508,0.141910143053388,0.0194712787456826,0.126203569183604,0.042054103257712,-0.181146685652837,-0.0313727861701484,0.00579178588480479,0.077815367445537,0.00912728883134592,0.163317828757916,2015-01-14,2015
-7.67174748351453e-06,-0.168301749582226,0.105734576817142,-0.0280502626428541,0.0969393553237312,0.142801359518037,0.0204953800442691,0.125829364011832,0.0422473215709589,-0.180345304185527,-0.0312475462908337,0.00538434009354531,0.0776863157229146,0.00808341143141286,0.163749446836781,2015-01-15,2015
-6.24789210635058e-06,-0.168605014571621,0.105738311711152,-0.0280657913117373,0.0972854439339313,0.143387176671106,0.020113998423748,0.125912478088043,0.0424926379099049,-0.179533511530916,-0.0316083157774911,0.00609524721028682,0.0776666800926665,0.00823794897634681,0.163875855748182,2015-01-16,2015
-6.26893361355131e-06,-0.16860850278152,0.105738195884356,-0.0280534886863699,0.097281125948171,0.143395527687985,0.0201095664656599,0.125923857406753,0.0424845151743886,-0.179541698003159,-0.0316136589640592,0.00609535993050817,0.0776664822019056,0.00822429182100194,0.16387605287197,2015-01-20,2015
-6.40413290261343e-06,-0.168607677257388,0.105741826715847,-0.0280927203570753,0.0972693001122102,0.143322747484386,0.0201405672750514,0.125910563243904,0.0424690654988656,-0.179450370110179,-0.0315736010052755,0.0061397772534974,0.0776359742485975,0.00819875378676544,0.163878493758262,2015-01-21,2015
-7.48122817642546e-06,-0.168595001422341,0.105688786172864,-0.0275566385061832,0.0968279109753071,0.142679371831966,0.0203076178891189,0.126230149090962,0.0422765799358559,-0.179345986250411,-0.0314909223821947,0.00568087683230714,0.0773752709044307,0.00752365339942077,0.163761871058006,2015-01-22,2015
-8.48559224233873e-06,-0.168579431997277,0.105722753386919,-0.0275243210958664,0.0967668051419995,0.142677310049717,0.0201003367607368,0.12641804874036,0.0421753201533635,-0.17947884345622,-0.0313075936210024,0.00549260418493323,0.0774316053668717,0.00774524092088462,0.163740360283162,2015-01-23,2015
-8.0156022302536e-06,-0.16863904931809,0.105702954111539,-0.027575247741167,0.0968156885309301,0.142801098139272,0.0200507946052348,0.126533093436951,0.0421859054192202,-0.179537685363715,-0.0312690228390583,0.00564806204472093,0.0774044854253697,0.00771864913538645,0.163729070618268,2015-01-26,2015
-7.12002822504686e-06,-0.168586307535546,0.105505539737378,-0.0276444600628127,0.0967570942556638,0.142596613076065,0.0203128198665014,0.126526472557626,0.0428036777466832,-0.179447664299403,-0.0308682007960634,0.00538284948192786,0.0777699122425482,0.00738740570257314,0.163552418692764,2015-01-27,2015
-9.91012335067797e-06,-0.168685074856447,0.105256129140756,-0.0274370726203676,0.0969250849478476,0.144496916380859,0.0199701708501557,0.125648907188249,0.0414052517606682,-0.178470598276623,-0.0298727873990691,0.00554858977462529,0.0790992348061617,0.00700522724015073,0.164820318758402,2015-01-28,2015
-1.03020198948383e-05,-0.16856525265653,0.105268187177254,-0.0273632633189259,0.0969038356427219,0.14461893629183,0.0199759443803405,0.12543291954996,0.0413359492002915,-0.178529144801868,-0.0300952432992406,0.00541391158111909,0.0789674853328951,0.00705967107849472,0.164757904946826,2015-01-29,2015
-1.28362308740572e-05,-0.168744561120382,0.105460866517199,-0.0279287069968142,0.0974712168447692,0.144518394174871,0.0205003821625099,0.124656632196001,0.0398316293486861,-0.176941836705478,-0.0301671291541116,0.00431643314356094,0.0779629971186343,0.00898783149489614,0.164992011630746,2015-01-30,2015
-1.08189106122218e-05,-0.169254337567204,0.105407834245392,-0.0286960248329162,0.0970385384508598,0.145478808410206,0.022264171038321,0.124684882452098,0.0390548605266944,-0.177712005662587,-0.0295253979208934,0.00300350939069575,0.079275363318721,0.00841495902630134,0.165489940318212,2015-02-02,2015
-9.05824251867691e-06,-0.168511290960345,0.105636796810473,-0.0282492739767797,0.0969709590749732,0.144474885217397,0.0226532033983311,0.124285185100139,0.0396390415725777,-0.177237573477052,-0.0287701314927975,0.00354240333429602,0.0785332501790586,0.00868474254755484,0.165667539066748,2015-02-03,2015
-1.18942959826336e-05,-0.168768351207616,0.105845772931812,-0.0284952950574778,0.0971601654720204,0.143944828251874,0.0217075933489264,0.124325564946683,0.0406983879342154,-0.177049423639572,-0.0292419854548156,0.00396541419870118,0.078754397814276,0.00847168112638576,0.165031520717094,2015-02-04,2015
-1.26584945231424e-05,-0.16852853897622,0.105790677094456,-0.0286139027006768,0.097058593594084,0.143822151030297,0.0217909922717389,0.124284098497624,0.0409653807940941,-0.177079612395177,-0.0294511955218325,0.00392601785073518,0.078736118947911,0.00850932274662688,0.164975586123748,2015-02-05,2015
