"date","r_onfh"
2008-04-04,-7.3104759119702e-05
2008-04-07,0.00671679929911639
2008-04-08,-0.00386720175118571
2008-04-09,-0.00205188333577611
2008-04-10,-0.00221582096166617
2008-04-11,-0.0113285272914521
2008-04-14,-0.00060024009603854
2008-04-15,0.00278593479406664
2008-04-16,0.00913857677902619
2008-04-17,-0.000587285273821903
2008-04-18,0.0148739742086752
2008-04-21,-0.00338299863240477
2008-04-22,-0.00662871964838951
2008-04-23,-0.000581015324279011
2008-04-24,-0.000942233818946092
2008-04-25,0.00100900900900891
2008-04-28,-0.000357756153405719
2008-04-29,-0.00222031227617825
2008-04-30,0.00258862443373853
2008-05-01,0.00231163765079812
2008-05-02,0.00759188307081016
2008-05-05,-0.000990519315126726
2008-05-06,-0.00540117973136256
